  0% 0/3355 [00:00<?, ?it/s]/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/usr/local/lib/python3.12/dist-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                        
{'loss': 3.4035, 'learning_rate': 9.900990099009901e-06, 'epoch': 0.0}
{'loss': 2.6307, 'learning_rate': 1.9801980198019803e-05, 'epoch': 0.01}
{'loss': 2.2858, 'learning_rate': 2.9702970297029702e-05, 'epoch': 0.01}
{'loss': 2.1532, 'learning_rate': 3.9603960396039605e-05, 'epoch': 0.01}
{'loss': 2.1213, 'learning_rate': 4.950495049504951e-05, 'epoch': 0.01}
{'loss': 2.054, 'learning_rate': 5.9405940594059404e-05, 'epoch': 0.02}
{'loss': 2.1058, 'learning_rate': 6.93069306930693e-05, 'epoch': 0.02}
{'loss': 2.1524, 'learning_rate': 7.920792079207921e-05, 'epoch': 0.02}
{'loss': 2.0672, 'learning_rate': 8.910891089108912e-05, 'epoch': 0.03}
{'loss': 2.0871, 'learning_rate': 9.900990099009902e-05, 'epoch': 0.03}
{'loss': 2.0143, 'learning_rate': 9.999811250007397e-05, 'epoch': 0.03}
{'loss': 2.1525, 'learning_rate': 9.999158799192792e-05, 'epoch': 0.04}
{'loss': 2.113, 'learning_rate': 9.998040378109649e-05, 'epoch': 0.04}
{'loss': 2.0765, 'learning_rate': 9.996456091005702e-05, 'epoch': 0.04}
{'loss': 2.0997, 'learning_rate': 9.994406085551933e-05, 'epoch': 0.04}
{'loss': 2.0065, 'learning_rate': 9.991890552828808e-05, 'epoch': 0.05}
{'loss': 2.1657, 'learning_rate': 9.988909727308467e-05, 'epoch': 0.05}
{'loss': 2.1008, 'learning_rate': 9.985463886832864e-05, 'epoch': 0.05}
{'loss': 2.0235, 'learning_rate': 9.981553352587882e-05, 'epoch': 0.06}
{'loss': 2.1236, 'learning_rate': 9.97717848907338e-05, 'epoch': 0.06}
{'loss': 2.1107, 'learning_rate': 9.972339704069231e-05, 'epoch': 0.06}
{'loss': 2.1151, 'learning_rate': 9.967037448597303e-05, 'epoch': 0.07}
{'loss': 2.001, 'learning_rate': 9.961272216879424e-05, 'epoch': 0.07}
{'loss': 2.1143, 'learning_rate': 9.95504454629132e-05, 'epoch': 0.07}
{'loss': 2.0437, 'learning_rate': 9.948355017312515e-05, 'epoch': 0.07}
{'loss': 2.0039, 'learning_rate': 9.941204253472236e-05, 'epoch': 0.08}
{'loss': 2.0649, 'learning_rate': 9.933592921291288e-05, 'epoch': 0.08}
{'loss': 2.1505, 'learning_rate': 9.925521730219928e-05, 'epoch': 0.08}
{'loss': 2.105, 'learning_rate': 9.91699143257174e-05, 'epoch': 0.09}
{'loss': 2.016, 'learning_rate': 9.90800282345351e-05, 'epoch': 0.09}
{'loss': 1.9867, 'learning_rate': 9.898556740691116e-05, 'epoch': 0.09}
{'loss': 1.9785, 'learning_rate': 9.888654064751432e-05, 'epoch': 0.1}
{'loss': 2.0314, 'learning_rate': 9.87829571866026e-05, 'epoch': 0.1}
{'loss': 2.0128, 'learning_rate': 9.867482667916299e-05, 'epoch': 0.1}
{'loss': 2.0757, 'learning_rate': 9.856215920401146e-05, 'epoch': 0.1}
{'loss': 2.0771, 'learning_rate': 9.844496526285356e-05, 'epoch': 0.11}
{'loss': 2.1016, 'learning_rate': 9.83232557793055e-05, 'epoch': 0.11}
{'loss': 1.9627, 'learning_rate': 9.819704209787606e-05, 'epoch': 0.11}
{'loss': 2.1139, 'learning_rate': 9.806633598290906e-05, 'epoch': 0.12}
{'loss': 1.8932, 'learning_rate': 9.79311496174869e-05, 'epoch': 0.12}
{'loss': 2.1463, 'learning_rate': 9.77914956022949e-05, 'epoch': 0.12}
{'loss': 2.0258, 'learning_rate': 9.764738695444689e-05, 'epoch': 0.13}
{'loss': 1.9692, 'learning_rate': 9.749883710627175e-05, 'epoch': 0.13}
{'loss': 1.974, 'learning_rate': 9.734585990406153e-05, 'epoch': 0.13}
{'loss': 1.9655, 'learning_rate': 9.718846960678077e-05, 'epoch': 0.13}
{'loss': 1.9612, 'learning_rate': 9.702668088473742e-05, 'epoch': 0.14}
{'loss': 2.0031, 'learning_rate': 9.68605088182154e-05, 'epoch': 0.14}
{'loss': 2.0554, 'learning_rate': 9.668996889606911e-05, 'epoch': 0.14}
{'loss': 2.1343, 'learning_rate': 9.651507701427954e-05, 'epoch': 0.15}
{'loss': 1.9824, 'learning_rate': 9.633584947447266e-05, 'epoch': 0.15}
                                     
{'eval_loss': 2.0190045833587646, 'eval_runtime': 2350.809, 'eval_samples_per_second': 14.982, 'eval_steps_per_second': 0.357, 'epoch': 0.15}
{'loss': 1.9093, 'learning_rate': 9.615230298240008e-05, 'epoch': 0.15}
{'loss': 1.9372, 'learning_rate': 9.596445464638169e-05, 'epoch': 0.15}
{'loss': 2.0373, 'learning_rate': 9.577232197571122e-05, 'epoch': 0.16}
{'loss': 2.0648, 'learning_rate': 9.557592287902403e-05, 'epoch': 0.16}
{'loss': 2.1069, 'learning_rate': 9.537527566262794e-05, 'epoch': 0.16}
{'loss': 1.9951, 'learning_rate': 9.517039902879689e-05, 'epoch': 0.17}
{'loss': 1.9842, 'learning_rate': 9.496131207402767e-05, 'epoch': 0.17}
{'loss': 1.9458, 'learning_rate': 9.474803428726005e-05, 'epoch': 0.17}
{'loss': 2.1109, 'learning_rate': 9.453058554806002e-05, 'epoch': 0.18}
{'loss': 2.0708, 'learning_rate': 9.430898612476707e-05, 'epoch': 0.18}
{'loss': 2.0266, 'learning_rate': 9.408325667260473e-05, 'epoch': 0.18}
{'loss': 1.9843, 'learning_rate': 9.385341823175555e-05, 'epoch': 0.18}
{'loss': 1.9878, 'learning_rate': 9.361949222539973e-05, 'epoch': 0.19}
{'loss': 2.1254, 'learning_rate': 9.338150045771846e-05, 'epoch': 0.19}
{'loss': 1.939, 'learning_rate': 9.313946511186133e-05, 'epoch': 0.19}
{'loss': 2.0508, 'learning_rate': 9.289340874787895e-05, 'epoch': 0.2}
{'loss': 1.9573, 'learning_rate': 9.264335430061984e-05, 'epoch': 0.2}
{'loss': 1.9492, 'learning_rate': 9.238932507759285e-05, 'epoch': 0.2}
{'loss': 2.0618, 'learning_rate': 9.213134475679466e-05, 'epoch': 0.21}
{'loss': 1.9761, 'learning_rate': 9.186943738450264e-05, 'epoch': 0.21}
{'loss': 1.9349, 'learning_rate': 9.160362737303366e-05, 'epoch': 0.21}
{'loss': 1.9739, 'learning_rate': 9.133393949846855e-05, 'epoch': 0.21}
{'loss': 1.9811, 'learning_rate': 9.10603988983427e-05, 'epoch': 0.22}
{'loss': 1.9727, 'learning_rate': 9.078303106930308e-05, 'epoch': 0.22}
{'loss': 1.9382, 'learning_rate': 9.05018618647316e-05, 'epoch': 0.22}
{'loss': 2.0178, 'learning_rate': 9.021691749233538e-05, 'epoch': 0.23}
{'loss': 2.0693, 'learning_rate': 8.9928224511704e-05, 'epoch': 0.23}
{'loss': 2.0271, 'learning_rate': 8.963580983183375e-05, 'epoch': 0.23}
{'loss': 1.9559, 'learning_rate': 8.933970070861954e-05, 'epoch': 0.24}
{'loss': 2.0015, 'learning_rate': 8.903992474231439e-05, 'epoch': 0.24}
{'loss': 2.0211, 'learning_rate': 8.873650987495679e-05, 'epoch': 0.24}
{'loss': 1.9656, 'learning_rate': 8.842948438776619e-05, 'epoch': 0.24}
{'loss': 1.9814, 'learning_rate': 8.8118876898507e-05, 'epoch': 0.25}
{'loss': 1.991, 'learning_rate': 8.780471635882109e-05, 'epoch': 0.25}
{'loss': 2.0874, 'learning_rate': 8.74870320515292e-05, 'epoch': 0.25}
{'loss': 1.9647, 'learning_rate': 8.716585358790154e-05, 'epoch': 0.26}
{'loss': 1.9458, 'learning_rate': 8.684121090489772e-05, 'epoch': 0.26}
{'loss': 1.9627, 'learning_rate': 8.651313426237627e-05, 'epoch': 0.26}
{'loss': 1.9824, 'learning_rate': 8.618165424027423e-05, 'epoch': 0.27}
{'loss': 1.8913, 'learning_rate': 8.584680173575669e-05, 'epoch': 0.27}
{'loss': 1.9966, 'learning_rate': 8.550860796033699e-05, 'epoch': 0.27}
{'loss': 1.9561, 'learning_rate': 8.516710443696745e-05, 'epoch': 0.27}
{'loss': 2.0433, 'learning_rate': 8.482232299710107e-05, 'epoch': 0.28}
{'loss': 1.8818, 'learning_rate': 8.447429577772461e-05, 'epoch': 0.28}
{'loss': 1.9331, 'learning_rate': 8.412305521836308e-05, 'epoch': 0.28}
{'loss': 2.0085, 'learning_rate': 8.376863405805606e-05, 'epoch': 0.29}
{'loss': 2.0038, 'learning_rate': 8.341106533230607e-05, 'epoch': 0.29}
{'loss': 2.0318, 'learning_rate': 8.305038236999942e-05, 'epoch': 0.29}
{'loss': 1.9567, 'learning_rate': 8.268661879029959e-05, 'epoch': 0.3}
{'loss': 2.0256, 'learning_rate': 8.231980849951351e-05, 'epoch': 0.3}
{'eval_loss': 1.9691574573516846, 'eval_runtime': 2352.3145, 'eval_samples_per_second': 14.972, 'eval_steps_per_second': 0.357, 'epoch': 0.3}
You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/usr/local/lib/python3.12/dist-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                              
{'loss': 1.9084, 'learning_rate': 8.194998568793134e-05, 'epoch': 0.3}
{'loss': 1.9465, 'learning_rate': 8.157718482663945e-05, 'epoch': 0.3}
{'loss': 2.0888, 'learning_rate': 8.120144066430746e-05, 'epoch': 0.31}
{'loss': 1.9658, 'learning_rate': 8.082278822394929e-05, 'epoch': 0.31}
{'loss': 2.01, 'learning_rate': 8.044126279965867e-05, 'epoch': 0.31}
{'loss': 2.0068, 'learning_rate': 8.005689995331945e-05, 'epoch': 0.32}
{'loss': 1.9231, 'learning_rate': 7.966973551129077e-05, 'epoch': 0.32}
{'loss': 1.9571, 'learning_rate': 7.927980556106784e-05, 'epoch': 0.32}
{'loss': 1.9433, 'learning_rate': 7.88871464479181e-05, 'epoch': 0.32}
{'loss': 1.9981, 'learning_rate': 7.849179477149355e-05, 'epoch': 0.33}
{'loss': 1.8617, 'learning_rate': 7.809378738241933e-05, 'epoch': 0.33}
{'loss': 1.8973, 'learning_rate': 7.769316137885882e-05, 'epoch': 0.33}
{'loss': 1.8611, 'learning_rate': 7.728995410305577e-05, 'epoch': 0.34}
{'loss': 1.9442, 'learning_rate': 7.688420313785366e-05, 'epoch': 0.34}
{'loss': 1.8626, 'learning_rate': 7.647594630319257e-05, 'epoch': 0.34}
{'loss': 1.9026, 'learning_rate': 7.606522165258397e-05, 'epoch': 0.35}
{'loss': 1.9451, 'learning_rate': 7.565206746956388e-05, 'epoch': 0.35}
{'loss': 2.0136, 'learning_rate': 7.523652226412432e-05, 'epoch': 0.35}
{'loss': 1.9087, 'learning_rate': 7.48186247691239e-05, 'epoch': 0.35}
{'loss': 1.8794, 'learning_rate': 7.439841393667755e-05, 'epoch': 0.36}
{'loss': 1.9392, 'learning_rate': 7.397592893452573e-05, 'epoch': 0.36}
{'loss': 1.9787, 'learning_rate': 7.355120914238367e-05, 'epoch': 0.36}
{'loss': 1.9716, 'learning_rate': 7.312429414827079e-05, 'epoch': 0.37}
{'loss': 2.0832, 'learning_rate': 7.269522374482069e-05, 'epoch': 0.37}
{'loss': 1.9463, 'learning_rate': 7.226403792557213e-05, 'epoch': 0.37}
{'loss': 1.9825, 'learning_rate': 7.183077688124116e-05, 'epoch': 0.38}
{'loss': 1.9062, 'learning_rate': 7.139548099597511e-05, 'epoch': 0.38}
{'loss': 1.9067, 'learning_rate': 7.095819084358817e-05, 'epoch': 0.38}
{'loss': 1.9491, 'learning_rate': 7.051894718377976e-05, 'epoch': 0.38}
{'loss': 1.9625, 'learning_rate': 7.007779095833514e-05, 'epoch': 0.39}
{'loss': 1.9774, 'learning_rate': 6.963476328730931e-05, 'epoch': 0.39}
{'loss': 1.9777, 'learning_rate': 6.918990546519423e-05, 'epoch': 0.39}
{'loss': 1.8583, 'learning_rate': 6.874325895706977e-05, 'epoch': 0.4}
