{'loss': 1.921, 'learning_rate': 1.9801980198019803e-06, 'epoch': 0.0}
{'loss': 1.8921, 'learning_rate': 3.960396039603961e-06, 'epoch': 0.01}
{'loss': 1.8439, 'learning_rate': 5.940594059405941e-06, 'epoch': 0.01}
{'loss': 1.7971, 'learning_rate': 7.920792079207921e-06, 'epoch': 0.01}
{'loss': 1.7597, 'learning_rate': 9.900990099009901e-06, 'epoch': 0.01}
{'loss': 1.6902, 'learning_rate': 1.1881188118811881e-05, 'epoch': 0.02}
{'loss': 1.7019, 'learning_rate': 1.3861386138613861e-05, 'epoch': 0.02}
{'loss': 1.6995, 'learning_rate': 1.5841584158415843e-05, 'epoch': 0.02}
{'loss': 1.6189, 'learning_rate': 1.7821782178217823e-05, 'epoch': 0.03}
{'loss': 1.6111, 'learning_rate': 1.9801980198019803e-05, 'epoch': 0.03}
{'loss': 1.5639, 'learning_rate': 1.9999622500014795e-05, 'epoch': 0.03}
{'loss': 1.6085, 'learning_rate': 1.9998317598385583e-05, 'epoch': 0.04}
{'loss': 1.6142, 'learning_rate': 1.9996080756219298e-05, 'epoch': 0.04}
{'loss': 1.5986, 'learning_rate': 1.9992912182011404e-05, 'epoch': 0.04}
{'loss': 1.5905, 'learning_rate': 1.9988812171103868e-05, 'epoch': 0.04}
{'loss': 1.4734, 'learning_rate': 1.9983781105657617e-05, 'epoch': 0.05}
{'loss': 1.5712, 'learning_rate': 1.9977819454616934e-05, 'epoch': 0.05}
{'loss': 1.5587, 'learning_rate': 1.9970927773665728e-05, 'epoch': 0.05}
{'loss': 1.5371, 'learning_rate': 1.9963106705175764e-05, 'epoch': 0.06}
{'loss': 1.6208, 'learning_rate': 1.995435697814676e-05, 'epoch': 0.06}
{'loss': 1.5559, 'learning_rate': 1.9944679408138463e-05, 'epoch': 0.06}
{'loss': 1.5735, 'learning_rate': 1.9934074897194606e-05, 'epoch': 0.07}
{'loss': 1.4935, 'learning_rate': 1.9922544433758852e-05, 'epoch': 0.07}
